01-03 17:47:32: Training starting...
01-03 17:47:34: New best reward -8.1 (-100.0%) at episode 0, saving model...
01-03 17:47:34: New best reward -6.9 (-14.8%) at episode 1, saving model...
01-03 17:47:35: New best reward -2.1 (-69.6%) at episode 4, saving model...
01-03 17:47:36: New best reward -0.3 (-85.7%) at episode 9, saving model...
01-03 17:47:50: New best reward 0.3 (-200.0%) at episode 59, saving model...
01-03 17:47:54: New best reward 2.7 (+800.0%) at episode 73, saving model...
01-03 17:48:01: New best reward 3.9 (+44.4%) at episode 98, saving model...
01-03 17:51:28: New best reward 4.1 (+5.1%) at episode 838, saving model...
01-03 17:52:40: New best reward 4.3 (+4.9%) at episode 1094, saving model...
01-03 18:01:04: New best reward 4.9 (+14.0%) at episode 2878, saving model...
01-03 18:14:53: New best reward 8.4 (+71.4%) at episode 5781, saving model...
01-03 18:46:05: New best reward 8.7 (+3.6%) at episode 12223, saving model...
01-03 18:53:26: New best reward 10.6 (+21.8%) at episode 13720, saving model...
01-03 19:11:52: New best reward 10.7 (+0.9%) at episode 17444, saving model...
01-03 19:38:01: New best reward 10.9 (+1.9%) at episode 22669, saving model...
01-03 19:39:54: New best reward 13.9 (+27.5%) at episode 23039, saving model...
01-03 19:41:35: New best reward 15.7 (+12.9%) at episode 23361, saving model...
01-03 19:51:36: New best reward 17.9 (+14.0%) at episode 25287, saving model...
01-03 20:36:46: New best reward 18.1 (+1.1%) at episode 33331, saving model...
01-03 20:41:51: New best reward 19.1 (+5.5%) at episode 34189, saving model...
01-03 20:59:35: New best reward 23.0 (+20.4%) at episode 37218, saving model...
01-03 21:04:38: New best reward 23.5 (+2.2%) at episode 37974, saving model...
01-03 21:07:47: New best reward 27.1 (+15.3%) at episode 38437, saving model...
01-03 21:10:01: New best reward 31.9 (+17.7%) at episode 38741, saving model...
01-03 21:21:15: New best reward 32.5 (+1.9%) at episode 40258, saving model...
01-03 21:26:14: New best reward 34.3 (+5.5%) at episode 40928, saving model...
01-03 21:28:06: New best reward 45.9 (+33.8%) at episode 41158, saving model...
01-03 21:33:45: New best reward 51.6 (+12.4%) at episode 41851, saving model...
01-03 21:43:40: New best reward 53.1 (+2.9%) at episode 43045, saving model...
01-03 22:45:58: New best reward 54.9 (+3.4%) at episode 50940, saving model...
01-03 22:47:07: New best reward 80.7 (+47.0%) at episode 51030, saving model...
01-03 23:09:17: New best reward 106.4 (+31.8%) at episode 52926, saving model...
01-03 23:20:07: New best reward 110.9 (+4.2%) at episode 53727, saving model...
01-04 00:10:03: New best reward 127.1 (+14.6%) at episode 57585, saving model...
01-04 04:43:59: New best reward 127.8 (+0.6%) at episode 76711, saving model...
01-04 05:11:25: New best reward 153.1 (+19.8%) at episode 78348, saving model...
01-04 08:19:15: New best reward 174.3 (+13.8%) at episode 89235, saving model...
