01-03 18:35:21: Training starting...
01-03 18:35:22: New best reward 3.9 (-100.0%) at episode 0, saving model...
01-03 18:35:22: New best reward 4.2 (+7.7%) at episode 1, saving model...
01-03 18:35:23: New best reward 8.4 (+100.0%) at episode 2, saving model...
01-03 18:35:25: New best reward 8.7 (+3.6%) at episode 13, saving model...
01-03 18:35:56: New best reward 15.6 (+79.3%) at episode 124, saving model...
01-03 18:37:30: New best reward 17.9 (+14.7%) at episode 386, saving model...
01-03 18:38:42: New best reward 20.6 (+15.1%) at episode 561, saving model...
01-03 18:41:21: New best reward 22.4 (+8.7%) at episode 962, saving model...
01-03 18:41:32: New best reward 26.9 (+20.1%) at episode 996, saving model...
