01-04 15:56:40: Training starting...
01-04 15:56:41: New best reward -8.1 (-100.0%) at episode 0, saving model...
01-04 15:56:42: New best reward -6.9 (-14.8%) at episode 2, saving model...
01-04 15:56:44: New best reward -6.3 (-8.7%) at episode 11, saving model...
01-04 15:56:44: New best reward -0.9 (-85.7%) at episode 12, saving model...
01-04 15:57:00: New best reward 1.5 (-266.7%) at episode 67, saving model...
01-04 15:57:01: New best reward 3.3 (+120.0%) at episode 71, saving model...
01-04 15:57:42: New best reward 3.9 (+18.2%) at episode 218, saving model...
01-04 16:17:35: New best reward 4.4 (+12.8%) at episode 4415, saving model...
01-04 16:24:12: New best reward 4.9 (+11.4%) at episode 5793, saving model...
01-04 16:43:46: New best reward 5.0 (+2.0%) at episode 9834, saving model...
01-04 16:44:09: New best reward 6.7 (+34.0%) at episode 9914, saving model...
01-04 17:20:11: New best reward 6.8 (+1.5%) at episode 17228, saving model...
01-04 17:21:59: New best reward 9.2 (+35.3%) at episode 17588, saving model...
01-04 17:45:11: New best reward 12.9 (+40.2%) at episode 22188, saving model...
01-04 17:59:18: New best reward 17.9 (+38.8%) at episode 24914, saving model...
01-04 19:11:29: New best reward 18.4 (+2.8%) at episode 37801, saving model...
01-04 19:13:59: New best reward 20.8 (+13.0%) at episode 38197, saving model...
01-04 19:23:48: New best reward 23.3 (+12.0%) at episode 39656, saving model...
01-04 19:26:51: New best reward 32.7 (+40.3%) at episode 40097, saving model...
01-04 20:02:36: New best reward 51.0 (+56.0%) at episode 44898, saving model...
01-04 20:49:45: New best reward 56.0 (+9.8%) at episode 50375, saving model...
01-04 20:55:12: New best reward 78.9 (+40.9%) at episode 50933, saving model...
01-04 21:15:30: New best reward 96.9 (+22.8%) at episode 52851, saving model...
01-04 23:12:44: New best reward 99.3 (+2.5%) at episode 61987, saving model...
01-05 00:05:38: New best reward 106.4 (+7.2%) at episode 65370, saving model...
01-05 00:43:13: New best reward 190.4 (+78.9%) at episode 67659, saving model...
01-05 02:34:17: New best reward 213.9 (+12.3%) at episode 73302, saving model...
01-05 03:02:50: New best reward 215.0 (+0.5%) at episode 74594, saving model...
01-05 03:11:48: New best reward 227.9 (+6.0%) at episode 74915, saving model...
01-05 05:11:32: New best reward 233.5 (+2.5%) at episode 79504, saving model...
01-05 06:25:26: New best reward 283.9 (+21.6%) at episode 82145, saving model...
01-05 07:14:26: New best reward 303.3 (+6.8%) at episode 83645, saving model...
01-05 10:17:23: New best reward 628.9 (+107.4%) at episode 88999, saving model...
